"","X1","Year","haul_number","stratum","Val_haul","month","Val","RP"
"122",122,"1997",55,"C",100,6,115,"BRP"
"123",123,"1997",56,"C",95,6,115,"BRP"
"124",124,"1997",57,"C",25,6,115,"BRP"
"125",125,"1997",58,"D",80,6,115,"BRP"
"126",126,"1997",61,"D",80,6,115,"BRP"
"127",127,"1997",62,"D",90,6,115,"BRP"
"128",128,"1997",63,"C",60,6,115,"BRP"
"129",129,"1997",64,"C",115,6,115,"BRP"
"130",130,"1997",69,"C",90,6,115,"BRP"
"131",131,"1997",70,"C",95,6,115,"BRP"
"132",132,"1997",72,"B",120,6,115,"BRP"
"133",133,"1997",73,"B",105,6,115,"BRP"
"134",134,"1997",74,"B",85,6,115,"BRP"
"135",135,"1997",76,"B",90,6,115,"BRP"
"136",136,"1997",77,"B",105,6,115,"BRP"
"137",137,"1997",106,"B",115,6,115,"BRP"
"138",138,"1997",137,"C",75,6,115,"BRP"
"139",139,"1998",8,"B",130,6,130,"BRP"
"140",140,"1998",10,"B",25,6,130,"BRP"
"141",141,"1998",13,"B",135,6,130,"BRP"
"142",142,"1998",21,"B",115,6,130,"BRP"
"143",143,"1998",22,"C",125,6,130,"BRP"
"144",144,"1998",23,"C",60,6,130,"BRP"
"145",145,"1998",24,"C",130,6,130,"BRP"
"146",146,"1998",28,"B",90,6,130,"BRP"
"147",147,"1998",33,"C",140,6,130,"BRP"
"148",148,"1998",34,"C",90,6,130,"BRP"
"149",149,"1998",35,"C",145,6,130,"BRP"
"150",150,"1998",36,"D",120,6,130,"BRP"
"151",151,"1998",37,"D",105,6,130,"BRP"
"152",152,"1998",38,"C",130,6,130,"BRP"
"153",153,"1998",39,"C",105,6,130,"BRP"
"154",154,"1998",40,"C",90,6,130,"BRP"
"155",155,"1998",41,"C",110,6,130,"BRP"
"156",156,"1998",42,"C",105,6,130,"BRP"
"157",157,"1998",43,"C",35,6,130,"BRP"
"158",158,"1998",44,"C",115,6,130,"BRP"
"159",159,"1998",45,"C",110,6,130,"BRP"
"160",160,"1998",46,"C",100,6,130,"BRP"
"161",161,"1998",48,"B",30,6,130,"BRP"
"162",162,"1998",52,"D",95,6,130,"BRP"
"163",163,"1998",53,"D",125,6,130,"BRP"
"164",164,"1998",100,"C",115,6,130,"BRP"
"165",165,"1998",107,"C",90,6,130,"BRP"
"166",166,"1998",116,"D",95,6,130,"BRP"
"167",167,"1998",117,"D",80,6,130,"BRP"
"168",168,"1999",40,"B",50,8,65,"BRP"
"169",169,"1999",56,"B",80,9,65,"BRP"
"170",170,"1999",60,"C",70,9,65,"BRP"
"171",171,"1999",61,"C",45,9,65,"BRP"
"172",172,"1999",63,"B",55,9,65,"BRP"
"173",173,"1999",64,"C",60,9,65,"BRP"
"174",174,"1999",65,"B",45,9,65,"BRP"
"175",175,"1999",67,"B",65,9,65,"BRP"
"176",176,"1999",68,"C",50,9,65,"BRP"
"177",177,"1999",69,"C",60,9,65,"BRP"
"178",178,"1999",71,"C",45,9,65,"BRP"
