"","year","Indicator","var_tot","stdev_tot","month"
"1",1994,190,165.71614797966,12.8730784189198,6
"2",1995,175,125.938150433086,11.222216823475,6
"3",1996,175,161.175800235261,12.6955031501418,6
"4",1997,185,154.461981304964,12.428273464362,7
"5",1998,185,79.7864400175934,8.93232556603225,6
"6",1999,140,200.693871576029,14.166646447767,8
"7",2000,180,129.42543703093,11.3765300962521,6
"8",2001,185,171.178748632204,13.0835296702459,6
"9",2002,165,156.886590658715,12.5254377431974,8
"10",2003,185,262.235632890777,16.193691144726,7
"11",2004,170,136.68903203336,11.6914084708969,7
"12",2005,170,183.927999051855,13.562005716407,7
"13",2006,165,95.7686952276718,9.78614813027433,7
"14",2007,170,270.329645731017,16.4417044655053,8
"15",2008,195,121.129258882028,11.0058738354584,6
"16",2009,185,128.088758240912,11.3176304163421,6
"17",2010,180,65.3558490435313,8.08429644703429,7
"18",2011,165,86.7313532032979,9.31296693880623,7
"19",2012,150,143.522011389043,11.9800672531102,7
"20",2013,160,112.08757746296,10.5871420819294,7
"21",2014,150,138.555286826302,11.7709509737447,9
"22",2015,160,128.255717348526,11.3250040771969,7
"23",2016,140,159.64213725053,12.6349569548349,8
"24",2017,145,119.816537735015,10.9460740786373,11
