"vessel","Year","month","day","haul_number","sqkm","Stratum","X","Y","hauling_depth","doy","Hauls"
"FUL",1994,5,21,1,0.04569269034,"B",14.2331666666667,42.7466666666667,81,141,25
"FUL",1994,5,21,2,0.04943336362,"B",14.2955,42.6986666666667,90,141,25
"FUL",1994,5,21,3,0.04279151115,"B",14.2283333333333,42.6975,66,141,25
"FUL",1994,5,21,4,0.04510563222,"B",14.2951666666667,42.7983333333333,97,141,25
"FUL",1994,5,21,5,0.04828068692,"B",14.3041666666667,42.9491666666667,104,141,25
"FUL",1994,5,21,6,0.04163540694364,"B",14.4355,43.1506666666667,93,141,25
"FUL",1994,5,21,7,0.04906172817,"C",14.6683333333333,43.1521666666667,126,141,18
"FUL",1994,5,21,8,0.04464567081,"C",14.7693333333333,43.1588333333333,132,141,18
"FUL",1994,5,22,9,0.0923028936,"D",15.2623333333333,43.3013333333333,229,142,5
"FUL",1994,5,22,10,0.08717591088,"D",15.2068333333333,43.2495,190,142,5
"FUL",1994,5,22,11,0.04781181211,"C",15.1146666666667,43.3205,128,142,18
"FUL",1994,5,22,12,0.0458355684,"C",15.056,43.389,124,142,18
"FUL",1994,5,22,13,0.04749028004,"C",14.7,43.3458333333333,102,142,18
"FUL",1994,5,22,14,0.04531666112,"B",14.5033333333333,43.3438333333333,101,142,25
"FUL",1994,5,23,15,0.04420888604,"A",14.0246666666667,42.8523333333333,18,143,37
"FUL",1994,5,23,16,0.04546698793,"B",14.0821666666667,43.096,60,143,25
"FUL",1994,5,23,17,0.04309916502,"A",13.953,43.1453333333333,22,143,37
"FUL",1994,5,23,18,0.04342772572,"A",14.0105,43.2028333333333,40,143,37
"FUL",1994,5,23,19,0.04513552621,"B",14.2356666666667,43.5416666666667,92,143,25
"FUL",1994,5,23,20,0.04177629697,"B",14.4048333333333,43.5505,92,143,25
"FUL",1994,5,23,21,0.04796781753,"B",14.3615,43.9811666666667,77,143,25
"FUL",1994,5,24,22,0.0496413764,"B",13.9316666666667,44.2075,70,144,25
"FUL",1994,5,24,23,0.04898056587,"B",13.8873333333333,44.2733333333333,62,144,25
"FUL",1994,5,24,24,0.04946408577,"B",13.661,44.2381666666667,68,144,25
"FUL",1994,5,24,25,0.04828752068,"B",13.534,44.1116666666667,68,144,25
"FUL",1994,5,24,26,0.04794905675,"B",13.328,44.1461666666667,66,144,25
"FUL",1994,5,24,27,0.04333950037,"B",13.3068333333333,44.039,60,144,25
"FUL",1994,5,24,28,0.04296880178,"B",13.2601666666667,44.0293333333333,57,144,25
"FUL",1994,5,24,29,0.0484007242,"A",13.2033333333333,43.9538333333333,40,144,37
"FUL",1994,5,25,30,0.0466551122,"A",13.1003333333333,44.0541666666667,48,145,37
"FUL",1994,5,25,31,0.04325334252,"A",12.9488333333333,44.156,48,145,37
"FUL",1994,5,25,32,0.06644739164,"A",12.6876666666667,44.2966666666667,35,145,37
"FUL",1994,5,25,33,0.04391251488,"A",12.986,44.4565,48,145,37
"FUL",1994,5,25,34,0.05337372268,"A",13.1801666666667,44.438,49,145,37
"FUL",1994,5,25,35,0.04797848848,"A",13.2076666666667,44.3641666666667,49,145,37
"FUL",1994,5,25,36,0.0527751184,"A",13.2401666666667,44.521,49,145,37
"FUL",1994,5,25,37,0.04924519564,"A",13.3545,44.6293333333333,44,145,37
"FUL",1994,5,26,38,0.046524121,"A",13.1213333333333,45.2666666666667,37,146,37
"FUL",1994,5,26,39,0.03664067748,"A",12.9098333333333,45.2091666666667,33,146,37
"FUL",1994,5,26,40,0.05007241197,"A",12.6248333333333,45.3171666666667,24,146,37
"FUL",1994,5,26,41,0.044884242,"A",12.7435,45.0831666666667,33,146,37
"FUL",1994,5,26,42,0.04431911224,"A",12.8091666666667,45.0253333333333,37,146,37
"FUL",1994,5,26,43,0.04270524632,"A",12.7596666666667,44.9681666666667,33,146,37
"FUL",1994,5,26,44,0.05758993512,"A",12.6143333333333,45.0156666666667,29,146,37
"FUL",1994,5,26,45,0.04744678424,"A",12.68,45.1003333333333,35,146,37
"FUL",1994,5,26,46,0.04661795116,"A",12.8628333333333,44.925,38,146,37
"FUL",1994,5,27,47,0.057080014,"A",13.1848333333333,45.021,38,147,37
"FUL",1994,5,27,48,0.0432400654,"A",13.1698333333333,44.7548333333333,40,147,37
"FUL",1994,5,27,49,0.05124690572,"A",13.0105,44.7351666666667,42,147,37
"FUL",1994,5,27,50,0.05159094964,"A",12.8391666666667,44.5618333333333,40,147,37
"FUL",1994,5,27,51,0.04588294824,"A",12.6186666666667,44.544,40,147,37
"FUL",1994,5,27,52,0.04403762176,"A",12.8693333333333,44.409,46,147,37
"FUL",1994,5,27,53,0.0350509446,"B",13.046,44.0983333333333,53,147,25
"FUL",1994,5,27,54,0.03892959788,"A",13.3006666666667,43.9068333333333,48,147,37
"FUL",1994,5,28,55,0.04110936216,"A",13.5666666666667,43.6833333333333,24,148,37
"FUL",1994,5,28,56,0.05111432824,"A",13.6728333333333,43.6463333333333,26,148,37
"FUL",1994,5,28,57,0.04537859198,"A",13.6706666666667,43.595,18,148,37
"FUL",1994,5,28,58,0.041727315,"B",13.8623333333333,43.6303333333333,57,148,25
"FUL",1994,5,28,59,0.0415395571,"A",13.8051666666667,43.4393333333333,18,148,37
"FUL",1994,5,28,60,0.04837971048,"A",13.7598333333333,43.4131666666667,13,148,37
"FUL",1994,5,28,61,0.05663787556,"A",13.9583333333333,43.4166666666667,46,148,37
"FUL",1994,5,28,62,0.05827534978,"A",13.8965,43.2886666666667,18,148,37
"FUL",1994,6,1,63,0.04345591159,"C",14.4203333333333,42.799,110,152,18
"FUL",1994,6,1,64,0.09013510896,"D",14.6116666666667,42.8411666666667,229,152,5
"FUL",1994,6,1,65,0.09906431712,"D",14.6958333333333,42.8538333333333,256,152,5
"FUL",1994,6,1,66,0.04751533584,"C",15.3593333333333,42.8678333333333,179,152,18
"FUL",1994,6,1,67,0.053106375,"C",15.4496666666667,42.7991666666667,179,152,18
"FUL",1994,6,1,68,0.04726042524,"C",15.1766666666667,42.5996666666667,188,152,18
"FUL",1994,6,1,69,0.0515769114,"C",14.9728333333333,42.5011666666667,181,152,18
"FUL",1994,6,2,70,0.04053480969,"A",14.294,42.5128333333333,22,153,37
"FUL",1994,6,2,71,0.04879105264,"B",14.5515,42.453,92,153,25
"FUL",1994,6,2,72,0.04789500956,"A",14.8185,42.173,49,153,37
"FUL",1994,6,2,73,0.04762477552,"B",15.0035,42.0995,53,153,25
