"","Year","Val","var_tot","stdev_tot"
"1",1994,105,31.6752711724777,5.62807881718777
"2",1995,130,195.176847713643,13.9705707726507
"3",1996,110,166.627010589292,12.9084085227147
"4",1997,115,150.497691031853,12.2677500395082
"5",1998,130,160.522552665461,12.6697495107623
"6",1999,65,11.3195575034968,3.36445500839241
"7",2000,125,228.250201212592,15.1079515889015
"8",2001,105,68.5450472955372,8.27919363800227
"9",2002,100,58.2836867471977,7.63437533444602
"10",2003,100,124.926854598139,11.1770682470019
"11",2004,110,288.045121516281,16.9718921018336
"12",2005,115,178.508067077489,13.3606911152638
"13",2006,110,68.5424630983677,8.27903757077884
"14",2007,115,125.413041585311,11.198796434676
"15",2008,120,50.2474237599031,7.08854172308403
"16",2009,120,92.0753282097644,9.5955889975428
"17",2010,115,76.7787842116788,8.76235038170004
"18",2011,110,59.4626331221364,7.71120179493031
"19",2012,125,136.682816819039,11.6911426652419
"20",2013,115,95.619222481158,9.77850819303016
"21",2014,80,13.5492224047318,3.68092684044818
"22",2015,110,117.25361587788,10.8283708782937
"23",2016,95,136.645719261292,11.6895559907677
"24",2017,70,10.3107610157264,3.21103737376668
