"","Year","0.05 percentile (mm)","Percentile_95"
"1",1994,113.75,190
"2",1995,100,175
"3",1996,110,180
"4",1997,110,180
"5",1998,110,185
"6",1999,55,145
"7",2000,62,180
"8",2001,110,185
"9",2002,115,180
"10",2003,115.5,190
"11",2004,100,175
"12",2005,55,170
"13",2006,85,175
"14",2007,86.5000000000001,175
"15",2008,110,190
"16",2009,105,185
"17",2010,105,175
"18",2011,110,170
"19",2012,100,170
"20",2013,90,165
"21",2014,80,160
"22",2015,105,165
"23",2016,55,145
"24",2017,75,145
