"","Year","Val","var_tot","stdev_tot"
"1",1998,125,9.99367850022895,3.16127798528205
"2",1999,135,87.567113284955,9.35773013529216
"3",2000,120,23.6288434991003,4.86095088425098
"4",2001,115,29.1171700987674,5.39603281112776
"5",2002,135,47.993733094188,6.92775094054253
"6",2004,120,31.4848177041098,5.61113337072911
"7",2005,100,33.5195874998223,5.78961030638698
"8",2006,110,15.3312435654642,3.91551319311584
"9",2007,100,57.9635984663862,7.61338285300209
"10",2008,120,299.900314961129,17.3176301773981
"11",2009,110,12.0733884012501,3.47467817232764
"12",2010,105,29.8238363530036,5.46112043018679
"13",2011,110,33.5247628981461,5.79005724480735
"14",2012,105,16.4330145663545,4.05376547994016
"15",2013,105,61.9951233101302,7.8736981978058
"16",2014,120,23.7743254493257,4.87589227212063
"17",2015,100,11.1428073598207,3.33808438476632
"18",2016,110,8.98224001354446,2.9970385405504
"19",2017,125,62.0948355366221,7.88002763552401
