"","Year","Val","var_tot","stdev_tot"
"1",1994,140,157.377134050087,12.5450043463558
"2",1995,155,279.439631495069,16.7164479329512
"3",1996,145,361.964033633529,19.0253523918357
"4",1997,140,505.444018243642,22.4820821598811
"5",1998,125,60.1660722711102,7.7566792038288
"6",1999,135,325.59444347388,18.0442357409196
"7",2000,125,104.418806822523,10.218552090317
"8",2001,125,113.690735911869,10.6625857985701
"9",2002,135,120.589257322498,10.9813140070985
"10",2003,135,200.438813631009,14.1576415278467
"11",2004,130,496.637097763999,22.285356128274
"12",2005,110,221.151492987582,14.8711631349932
"13",2006,125,240.108323578083,15.4954291188751
"14",2007,70,41.3286449637041,6.42873587602603
"15",2008,120,44.939697651778,6.70370775405506
"16",2009,130,280.770439258513,16.7562059923633
"17",2010,135,292.050180203991,17.0894757147196
"18",2011,130,145.719001749331,12.0714125830133
"19",2012,130,135.78591041441,11.6527211592147
"20",2013,110,242.710109781648,15.5791562602616
"21",2014,115,143.920182052871,11.9966737912169
"22",2015,120,29.9809294036119,5.47548439899265
"23",2016,115,268.341629273514,16.3811363852913
"24",2017,75,7.86674780231831,2.8047723262893
