"","year","haul_number","stratum","Val_haul"
"245",2013,61,"A",120
"246",2013,64,"A",105
"247",2013,67,"A",100
"248",2013,180,"A",95
"249",2014,3,"A",60
"250",2014,4,"A",60
"251",2014,5,"A",60
"252",2014,7,"A",85
"253",2014,9,"B",80
"254",2014,12,"A",60
"255",2014,13,"A",70
"256",2014,14,"A",110
"257",2014,15,"A",100
"258",2014,21,"A",80
"259",2014,40,"A",90
"260",2014,43,"A",100
"261",2014,49,"A",85
"262",2014,54,"A",80
"263",2014,55,"A",90
"264",2014,60,"A",85
"265",2014,61,"A",65
"266",2014,62,"B",95
"267",2014,67,"A",105
"268",2014,68,"A",100
"269",2014,76,"A",85
"270",2014,77,"A",100
"271",2014,78,"A",95.9999999999997
"272",2014,79,"A",100
"273",2014,80,"A",95
"274",2014,81,"A",95
"275",2014,82,"A",95
"276",2014,83,"A",95
"277",2014,84,"A",115
"278",2014,85,"A",100
"279",2014,86,"A",120
"280",2014,87,"A",100
"281",2014,88,"A",120
"282",2014,90,"A",90
"283",2014,91,"A",85
"284",2014,92,"A",100
"285",2014,93,"A",95
"286",2014,94,"A",110
"287",2014,96,"A",90
"288",2014,97,"A",110
"289",2014,107,"B",140
"290",2014,112,"B",110
"291",2014,113,"A",120
"292",2014,114,"A",100
"293",2014,115,"C",100
"294",2014,119,"B",105
"295",2014,120,"A",135
"296",2014,121,"B",130
"297",2014,122,"B",105
"298",2014,123,"A",126.75
"299",2014,143,"B",110
"300",2014,144,"C",105
"301",2014,148,"C",125
"302",2014,149,"B",105
"303",2014,150,"B",140
"304",2014,151,"B",95
"305",2014,159,"A",150
"306",2014,160,"B",100
"307",2014,162,"C",105
"308",2014,163,"B",125
"309",2014,165,"B",130
"310",2014,166,"B",60
"311",2014,167,"A",75
"312",2014,170,"C",120
"313",2014,171,"C",100
"314",2014,172,"B",120
"315",2014,173,"C",140
"316",2015,69,"A",65
"317",2015,77,"A",60
"318",2015,85,"A",55
"319",2015,89,"A",50
"320",2015,157,"A",70
"321",2015,158,"A",50
"322",2015,161,"A",65
"323",2015,162,"A",100
"324",2015,163,"A",100
"325",2015,164,"A",70
"326",2015,168,"A",80
"327",2015,180,"A",55
"328",2016,1,"A",55
"329",2016,5,"A",50
"330",2016,6,"A",55
"331",2016,10,"A",70
"332",2016,11,"A",105
"333",2016,15,"A",80
"334",2016,16,"A",50
"335",2016,17,"A",70
"336",2016,89,"A",90
"337",2016,93,"A",90
"338",2016,94,"A",65
"339",2016,95,"A",105
"340",2016,96,"A",40
"341",2016,97,"A",70
"342",2016,100,"A",70
"343",2016,102,"A",80
"344",2016,103,"A",90
"345",2016,104,"A",75
"346",2016,107,"A",110
"347",2016,108,"A",90
"348",2016,109,"A",75
"349",2016,110,"A",70
"350",2016,111,"A",70
"351",2016,113,"A",100
"352",2016,124,"A",85
"353",2016,132,"A",70
"354",2016,137,"A",95
"355",2016,139,"A",75
"356",2016,140,"A",85
"357",2016,141,"A",80
"358",2016,143,"A",70
"359",2016,146,"A",85
"360",2016,147,"A",95
"361",2016,148,"A",80
"362",2016,149,"A",85
"363",2016,163,"A",85
"364",2016,164,"A",75
"365",2016,174,"A",95
"366",2016,175,"A",105
"367",2016,176,"A",85
"368",2016,177,"A",90
"369",2017,1,"A",80
"370",2017,2,"B",75
"371",2017,3,"B",115
"372",2017,4,"A",95
"373",2017,8,"B",90
"374",2017,9,"B",105
"375",2017,16,"A",170
"376",2017,17,"A",130
"377",2017,20,"A",45
"378",2017,22,"A",80
"379",2017,23,"A",120
"380",2017,24,"A",120
"381",2017,25,"A",100
"382",2017,26,"A",105
"383",2017,27,"A",130
"384",2017,28,"A",125
"385",2017,29,"A",115
"386",2017,30,"A",145
"387",2017,31,"A",175
"388",2017,32,"A",145
"389",2017,33,"A",110
"390",2017,34,"A",130
"391",2017,38,"A",90
"392",2017,39,"A",95
"393",2017,40,"A",95
"394",2017,41,"A",100
"395",2017,42,"A",105
"396",2017,43,"A",85
"397",2017,44,"A",95
"398",2017,52,"B",115
"399",2017,64,"B",90
"400",2017,68,"B",95
"401",2017,78,"A",130
"402",2017,79,"A",110
"403",2017,80,"B",135
"404",2017,82,"B",115
"405",2017,85,"A",90
"406",2017,87,"B",125
"407",2017,102,"B",130
"408",2017,107,"A",135
"409",2017,114,"C",140
"410",2017,121,"A",120
