"","Year","Val","var_tot","stdev_tot"
"1",1994,130,190.262994397498,13.793585262632
"2",1996,145,84.9687693554148,9.21785058218101
"3",1997,160,246.444311601987,15.6985448880457
"4",1998,90,0,0
"5",1999,90,91.6098409490398,9.57130299118358
"6",2000,180,430.783606720166,20.7553271889451
"7",2001,165,37.7527115027021,6.14432351872052
"8",2002,90,28.6639657009353,5.35387389662245
"9",2003,135,21.7791197913366,4.6668104516186
"10",2004,160,91.8460549674904,9.58363474718702
"11",2005,94.4999999999993,18.0443155998013,4.24786012008414
"12",2006,85,29.8350055765668,5.46214294728422
"13",2007,140,155.079591069364,12.4530956420227
"14",2008,120,8.63782039181823,2.93901690907321
"15",2009,145,92.9098043691502,9.63897320097686
"16",2010,135,11.1167215101803,3.33417478698707
"17",2011,200,295.347012627939,17.1856629964613
"18",2012,95,0.0651419335732898,0.255229178530375
"19",2013,105,15.0222963335969,3.87586072164583
"20",2014,110,82.6673911533873,9.09216097269441
"21",2015,100,31.2801543183004,5.59286637765469
"22",2016,90,27.4669586673743,5.24089292653211
"23",2017,130,102.855723170817,10.1417810650209
